================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/arch/B3_bypass_cat/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1513.3s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9239 RMSE=1.1300 Spearman=0.8913 N=66543
  PCC  | mean=0.6825  median=0.7031  weighted_mean=0.6818  std=0.1083
  RMSE | mean=1.0728  median=1.0458  weighted_mean=1.0762
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8815  RMSE=1.2573  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
1    B-cell_ALL                      679   0.9465    0.9126   1.0482   0.7442
2    CML                             994   0.9021    0.8977   1.3659   0.8757
3    Ewings_Sarcoma                  512   0.9358    0.8948   1.0882   0.8015
4    T-cell_ALL                     1176   0.9343    0.8898   1.0600   0.7953
5    bile_duct                       172   0.9448    0.9150   0.9899   0.7632
6    breast                         6387   0.9046    0.8643   1.2073   0.8929
7    colorectal                     4400   0.9174    0.8870   1.1687   0.8849
8    endometrium                     853   0.9314    0.8943   1.0318   0.7666
9    esophagus                      2468   0.9223    0.8939   1.1078   0.8113
10   glioma                         3628   0.9370    0.8965   1.0360   0.7934
11   kidney                         1793   0.9201    0.8860   1.1412   0.8789
12   leukemia_other                  319   0.9322    0.8996   1.1665   0.8243
13   liver                          1364   0.9106    0.8595   1.1033   0.8465
14   lung_NSC                       7885   0.9268    0.8972   1.0826   0.8104
15   lung_small_cell                5743   0.9221    0.8781   1.0968   0.8328
16   lymphoma_Burkitt                511   0.9399    0.8818   1.0474   0.7965
17   lymphoma_DLBCL                  492   0.9359    0.8832   1.0963   0.8370
18   lymphoma_Hodgkin                170   0.9285    0.8662   1.0423   0.8194
19   lymphoma_other                  763   0.9120    0.8506   1.2791   0.9511
20   medulloblastoma                 340   0.9543    0.9104   0.9044   0.6841
21   melanoma                       4331   0.9068    0.8610   1.2091   0.8801
22   mesothelioma                    642   0.9141    0.8720   1.1585   0.8707
23   multiple_myeloma               1506   0.9075    0.8630   1.2740   0.9233
24   neuroblastoma                  1429   0.9115    0.8778   1.1695   0.8618
25   osteosarcoma                    827   0.9299    0.8872   1.0432   0.7733
26   other                           170   0.9359    0.8890   0.9133   0.6819
27   ovary                          3750   0.9225    0.8901   1.1126   0.8284
28   pancreas                       2945   0.9335    0.9028   1.0365   0.7974
29   prostate                        514   0.9301    0.8814   1.0609   0.8210
30   soft_tissue                    1363   0.9299    0.8979   1.0999   0.7834
31   stomach                        2474   0.9044    0.8712   1.2559   0.9264
32   thyroid                        1185   0.9383    0.8973   1.0305   0.7999
33   upper_aerodigestive            1301   0.9243    0.8868   1.0538   0.7726
34   urinary_tract                  1951   0.9428    0.9074   0.9775   0.7375

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9224, 0.9254]  RMSE=[1.1205, 1.1389]
