dgidb_name,concept_id,cid
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
IPRATROPIUM CATION,rxcui:1546373,
TROSPIUM,rxcui:236778,
TROSPIUM,rxcui:236778,
TROSPIUM,rxcui:236778,
TROSPIUM,rxcui:236778,
TROSPIUM,rxcui:236778,
TROSPIUM,rxcui:236778,
HYDROCHLOROTHIAZIDE,rxcui:5487,
TROSPIUM,rxcui:236778,
TROSPIUM,rxcui:236778,
TROSPIUM,rxcui:236778,
TROSPIUM,rxcui:236778,
TROSPIUM,rxcui:236778,
TROSPIUM,rxcui:236778,
TROSPIUM,rxcui:236778,
IRINOTECAN HYDROCHLORIDE,rxcui:153329,
IRINOTECAN HYDROCHLORIDE,rxcui:153329,
IRINOTECAN HYDROCHLORIDE,rxcui:153329,
IRINOTECAN HYDROCHLORIDE,rxcui:153329,
IRINOTECAN HYDROCHLORIDE,rxcui:153329,
IRINOTECAN HYDROCHLORIDE,rxcui:153329,
IRINOTECAN HYDROCHLORIDE,rxcui:153329,
IRINOTECAN HYDROCHLORIDE,rxcui:153329,
IRINOTECAN HYDROCHLORIDE,rxcui:153329,
