================================================================================
Phase 6 Generalization Report | model=cdr_baseline
ckpt: data/model/cdr_baseline/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 3.3s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9332 RMSE=1.0606 Spearman=0.9027 N=66543
  PCC  | mean=0.7078  median=0.7191  weighted_mean=0.7078  std=0.1010
  RMSE | mean=1.0150  median=0.9869  weighted_mean=1.0173
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.9161  RMSE=1.0467  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
fold held_cancer_type                  N      PCC  Spearman     RMSE      MAE
0    AML                            1506   0.9148    0.8929   1.2172   0.8680
1    B-cell_ALL                      679   0.9512    0.9199   0.9587   0.7238
2    CML                             994   0.9042    0.9019   1.3086   0.8674
3    Ewings_Sarcoma                  512   0.9496    0.9156   0.9499   0.7170
4    T-cell_ALL                     1176   0.9396    0.9016   1.0257   0.7491
5    bile_duct                       172   0.9432    0.9215   0.9672   0.7409
6    breast                         6387   0.9166    0.8790   1.1241   0.8310
7    colorectal                     4400   0.9284    0.8985   1.0975   0.8280
8    endometrium                     853   0.9375    0.9074   0.9966   0.7370
9    esophagus                      2468   0.9359    0.9098   1.0101   0.7501
10   glioma                         3628   0.9465    0.9080   0.9614   0.7274
11   kidney                         1793   0.9300    0.9020   1.0775   0.8249
12   leukemia_other                  319   0.9328    0.8998   1.0777   0.7954
13   liver                          1364   0.9209    0.8738   1.0584   0.7997
14   lung_NSC                       7885   0.9363    0.9082   1.0142   0.7591
15   lung_small_cell                5743   0.9307    0.8867   1.0439   0.7855
16   lymphoma_Burkitt                511   0.9438    0.8910   1.0091   0.7642
17   lymphoma_DLBCL                  492   0.9432    0.8984   0.9715   0.7483
18   lymphoma_Hodgkin                170   0.9343    0.8680   1.0840   0.8281
