================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/gdgn/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 2353.8s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9100 RMSE=1.2260 Spearman=0.8799 N=66543
  PCC  | mean=0.6505  median=0.6675  weighted_mean=0.6481  std=0.1213
  RMSE | mean=1.1506  median=1.0962  weighted_mean=1.1517
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8612  RMSE=1.6558  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
158  158                 381   0.6356    0.6099   0.8493   0.6876         -
159  159                 401   0.5560    0.5511   0.9927   0.6998         -
160  160                 396   0.7171    0.6718   0.7921   0.6038         -
161  161                 326   0.8472    0.8218   0.6032   0.4244         -
162  162                 403   0.7719    0.7491   0.7666   0.6026         -
163  163                 395   0.6247    0.5685   0.9379   0.7863         -
164  164                 401   0.4157    0.4118   1.1974   0.8804         -
165  165                 324   0.6435    0.6183   0.7020   0.5362         -
166  166                 382   0.5472    0.4924   1.2025   1.0061         -
167  167                 324   0.6760    0.6556   0.7377   0.5682         -
168  168                 324   0.7338    0.7155   0.6028   0.4682         -
169  169                 326   0.7234    0.6777   0.6769   0.5446         -
170  170                 403   0.4848    0.5042   0.9786   0.7027         -
171  171                 382   0.7760    0.7417   0.5809   0.4416         -
172  172                 401   0.7770    0.7354   0.8627   0.6942         -
173  173                 396   0.6260    0.5892   0.9995   0.7835         -
174  174                 322   0.6679    0.6903   2.1927   1.5997         -
175  175                 398   0.3631    0.2920   1.3526   1.1300         -
176  176                 324   0.7150    0.6829   0.6412   0.5321         -
177  177                 401   0.5345    0.5297   1.2042   0.9232         -
178  178                 403   0.7196    0.7126   1.2642   0.9671         -
179  179                 392   0.5768    0.6522   1.1091   0.7059         -
