Name,CCLE_ID,depMapID,GDSC_CELL_LINE_NAME
NCI-H1793,NCIH1793_LUNG,ACH-000888,NCI-H1793
NCI-H1836,NCIH1836_LUNG,ACH-000559,NCI-H1836
NCI-H1876,NCIH1876_LUNG,ACH-000586,NCI-H1876
NCI-H196,NCIH196_LUNG,ACH-000752,NCI-H196
NCI-H1963,NCIH1963_LUNG,ACH-000729,NCI-H1963
NCI-H1975,NCIH1975_LUNG,ACH-000587,NCI-H1975
NCI-H2023,NCIH2023_LUNG,ACH-000781,NCI-H2023
NCI-H2029,NCIH2029_LUNG,ACH-000298,NCI-H2029
NCI-H2030,NCIH2030_LUNG,ACH-000521,NCI-H2030
NCI-H2052,NCIH2052_PLEURA,ACH-000153,NCI-H2052
NCI-H2081,NCIH2081_LUNG,ACH-000394,NCI-H2081
NCI-H2087,NCIH2087_LUNG,ACH-000841,NCI-H2087
NCI-H209,NCIH209_LUNG,ACH-000290,NCI-H209
NCI-H211,NCIH211_LUNG,ACH-000639,NCI-H211
NCI-H2110,NCIH2110_LUNG,ACH-000929,NCI-H2110
NCI-H2122,NCIH2122_LUNG,ACH-000311,NCI-H2122
NCI-H2170,NCIH2170_LUNG,ACH-000481,NCI-H2170
NCI-H2171,NCIH2171_LUNG,ACH-000525,NCI-H2171
NCI-H2172,NCIH2172_LUNG,ACH-000924,NCI-H2172
NCI-H2196,NCIH2196_LUNG,ACH-000399,NCI-H2196
NCI-H2227,NCIH2227_LUNG,ACH-000610,NCI-H2227
NCI-H2228,NCIH2228_LUNG,ACH-000447,NCI-H2228
NCI-H2291,NCIH2291_LUNG,ACH-000718,NCI-H2291
NCI-H23,NCIH23_LUNG,ACH-000900,NCI-H23
NCI-H2452,NCIH2452_PLEURA,ACH-000092,NCI-H2452
NCI-H28,NCIH28_PLEURA,ACH-000648,NCI-H28
NCI-H292,NCIH292_LUNG,ACH-001075,NCI-H292
NCI-H322,NCIH322_LUNG,ACH-000837,NCI-H322M
NCI-H446,NCIH446_LUNG,ACH-000800,NCI-H446
NCI-H460,NCIH460_LUNG,ACH-000463,NCI-H460
NCI-H508,NCIH508_LARGE_INTESTINE,ACH-000360,NCI-H508
NCI-H510,NCIH510_LUNG,ACH-000871,NCI-H510A
